country,sex,suicides_no
Albania,male,1256
Albania,female,693
Antigua and Barbuda,male,10
Antigua and Barbuda,female,1
Argentina,male,63691
Argentina,female,18326
Armenia,male,1385
Armenia,female,495
Aruba,male,82
Aruba,female,17
Australia,male,54718
Australia,female,15326
Austria,male,36726
Austria,female,13195
Azerbaijan,male,1203
Azerbaijan,female,412
Bahamas,male,78
Bahamas,female,14
Bahrain,male,376
Bahrain,female,80
Barbados,male,143
Barbados,female,33
Belarus,male,49161
Belarus,female,10002
Belgium,male,44535
Belgium,female,18012
Belize,male,296
Belize,female,51
Bosnia and Herzegovina,male,246
Bosnia and Herzegovina,female,70
Brazil,male,177469
Brazil,female,49015
Bulgaria,male,26202
Bulgaria,female,9968
Cabo Verde,male,35
Cabo Verde,female,5
Canada,male,83266
Canada,female,24184
Chile,male,34027
Chile,female,6834
Colombia,male,41716
Colombia,female,11343
Costa Rica,male,5781
Costa Rica,female,979
Croatia,male,13677
Croatia,female,4675
Cuba,male,29516
Cuba,female,11675
Cyprus,male,329
Cyprus,female,82
Czech Republic,male,34242
Czech Republic,female,9247
Denmark,male,10879
Denmark,female,4329
Dominica,male,0
Dominica,female,0
Ecuador,male,14414
Ecuador,female,6238
El Salvador,male,8325
El Salvador,female,3345
Estonia,male,5414
Estonia,female,1393
Fiji,male,209
Fiji,female,91
Finland,male,25960
Finland,female,7660
France,male,238186
France,female,89419
Georgia,male,2516
Georgia,female,694
Germany,male,210039
Germany,female,79707
Greece,male,9793
Greece,female,2540
Grenada,male,33
Grenada,female,4
Guatemala,male,6130
Guatemala,female,1973
Guyana,male,2593
Guyana,female,818
Hungary,male,55443
Hungary,female,18115
Iceland,male,846
Iceland,female,255
Ireland,male,10058
Ireland,female,2451
Israel,male,8589
Israel,female,2681
Italy,male,98637
Italy,female,32881
Jamaica,male,157
Jamaica,female,26
Japan,male,553932
Japan,female,251630
Kazakhstan,male,83304
Kazakhstan,female,18160
Kiribati,male,38
Kiribati,female,10
Kuwait,male,664
Kuwait,female,301
Kyrgyzstan,male,10439
Kyrgyzstan,female,2637
Latvia,male,10057
Latvia,female,2474
Lithuania,male,22396
Lithuania,female,5011
Luxembourg,male,1410
Luxembourg,female,542
Macau,male,13
Macau,female,12
Maldives,male,14
Maldives,female,6
Malta,male,474
Malta,female,110
Mauritius,male,2899
Mauritius,female,993
Mexico,male,91761
Mexico,female,19334
Mongolia,male,244
Mongolia,female,52
Montenegro,male,328
Montenegro,female,144
Netherlands,male,33841
Netherlands,female,16886
New Zealand,male,11010
New Zealand,female,3355
Nicaragua,male,1523
Nicaragua,female,482
Norway,male,12170
Norway,female,4685
Oman,male,31
Oman,female,0
Panama,male,2968
Panama,female,512
Paraguay,male,3323
Paraguay,female,1457
Philippines,male,16051
Philippines,female,5273
Poland,male,116365
Poland,female,21063
Portugal,male,18098
Portugal,female,5874
Puerto Rico,male,7964
Puerto Rico,female,1054
Qatar,male,524
Qatar,female,50
Republic of Korea,male,179073
Republic of Korea,female,82615
Romania,male,59457
Romania,female,13182
Russian Federation,male,994019
Russian Federation,female,214330
Saint Kitts and Nevis,male,0
Saint Kitts and Nevis,female,0
Saint Lucia,male,193
Saint Lucia,female,34
Saint Vincent and Grenadines,male,111
Saint Vincent and Grenadines,female,11
San Marino,male,3
San Marino,female,0
Serbia,male,17269
Serbia,female,6763
Seychelles,male,86
Seychelles,female,9
Singapore,male,6273
Singapore,female,3793
Slovakia,male,11368
Slovakia,female,2024
Slovenia,male,8286
Slovenia,female,2302
South Africa,male,5713
South Africa,female,1602
Spain,male,75228
Spain,female,24669
Sri Lanka,male,41899
Sri Lanka,female,13598
Suriname,male,1578
Suriname,female,568
Sweden,male,26488
Sweden,female,11183
Switzerland,male,18332
Switzerland,female,7739
Thailand,male,82089
Thailand,female,28101
Trinidad and Tobago,male,3210
Trinidad and Tobago,female,820
Turkey,male,7529
Turkey,female,2569
Turkmenistan,male,6523
Turkmenistan,female,2096
Ukraine,male,258067
Ukraine,female,61377
United Arab Emirates,male,482
United Arab Emirates,female,98
United Kingdom,male,103854
United Kingdom,female,32687
United States,male,818039
United States,female,213797
Uruguay,male,10281
Uruguay,female,2820
